Vegetable,Calories (kcal),Protein (g),Carbs (g),Fat (g),Fiber (g),Serving size (g),Vitamin A (IU),Vitamin C (mg),Vitamin K (mcg),Vitamin B6 (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg)
Broccoli,34,2.82,6.64,0.37,2.6,100,623,89.2,101.6,0.175,47,0.73,21,316,33
Carrots,41,0.93,9.58,0.24,2.8,100,10119,5.9,13.2,0.138,33,0.3,12,320,69
Tomatoes,18,0.88,3.89,0.2,1.2,100,833,13.7,7.9,0.08,10,0.27,11,237,5
Cucumbers,15,0.65,3.63,0.11,0.5,100,105,2.8,16.4,0.057,16,0.28,13,147,2
Bell peppers,31,0.99,6.03,0.3,1.8,100,570,80.4,1.7,0.224,10,0.34,18,175,3
Onions,40,1.1,9.34,0.1,1.7,100,146,7.4,0.4,0.12,23,0.21,10,146,4
Garlic,149,6.36,33.06,0.5,2.1,100,9,31.2,0,1.235,181,1.7,25,401,17
Green beans,31,1.83,7.88,0.22,3.4,100,690,12.2,14.4,0.141,37,0.83,25,211,6
Peas,81,5.42,14.45,0.4,5.5,100,764,40,24.8,0.169,25,1.47,33,244,5
Cauliflower,25,1.92,4.97,0.28,2,100,22,48.2,15.5,0.184,22,0.42,15,299,30
Potato,77,1.87,17.49,0.1,2.2,100,0,19.7,2.1,0.239,12,0.81,23,421,6

